restaurant_id,restaurant_name,city,opening_hours
30,Trishna - Chennai Branch 819,Chennai,"12:00 PM-3:00 PM, 8:00 PM-11:00 PM"
31,Dum Pukht - Delhi Branch 5130,Delhi,10:00 AM-10:00 PM
32,The Fisherman's Wharf - Pune Branch 3718,Pune,"11:00 PM-2:00 PM, 6:00 PM-10:00 PM"
33,Copper Chimney - Mumbai Branch 5402,Mumbai,"1:00 PM-4:00 PM, 7:00 PM-10:00 PM"
34,Bukhara - Hyderabad Branch 8504,Hyderabad,10:00 AM-10:00 PM
35,Trishna - Hyderabad Branch 9203,Hyderabad,11:00 AM-11:00 PM
36,SodaBottleOpenerWala - Goa Branch 2814,Goa,11:00 AM-9:00 PM
37,Punjab Grill - Chennai Branch 7574,Chennai,10:00 AM-10:00 PM
38,Trishna - Bangalore Branch 8695,Bangalore,10:00 AM-9:00 PM
39,Mainland China - Pune Branch 8736,Pune,11:00 AM-11:00 PM
40,Indian Accent - Ahmedabad Branch 7489,Ahmedabad,"11:00 PM-1:00 PM, 8:00 PM-11:00 PM"
41,Trishna - Kolkata Branch 9885,Kolkata,"11:00 PM-2:00 PM, 8:00 PM-12:00 PM"
42,Peshawri - Pune Branch 856,Pune,10:00 AM-10:00 PM
43,Karavalli - Chennai Branch 8534,Chennai,10:00 AM-10:00 PM
44,Leopold Cafe - Jaipur Branch 8457,Jaipur,10:00 AM-10:00 PM
45,Annalakshmi - Bangalore Branch 6672,Bangalore,11:00 AM-11:00 PM
46,Karavalli - Bangalore Branch 383,Bangalore,"12:00 PM-3:00 PM, 6:00 PM-9:00 PM"
47,Leopold Cafe - Mumbai Branch 2391,Mumbai,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
48,Peshawri - Ahmedabad Branch 1675,Ahmedabad,11:00 AM-10:00 PM
49,Bukhara - Jaipur Branch 2466,Jaipur,11:00 AM-9:00 PM
50,Thalassa - Delhi Branch 9128,Delhi,10:00 AM-9:00 PM
51,The Bombay Canteen - Hyderabad Branch 6553,Hyderabad,10:00 AM-9:00 PM
52,Mainland China - Pune Branch 2905,Pune,"12:00 PM-2:00 PM, 7:00 PM-11:00 PM"
53,The Fisherman's Wharf - Kolkata Branch 7391,Kolkata,"11:00 PM-2:00 PM, 8:00 PM-10:00 PM"
54,Mainland China - Ahmedabad Branch 9186,Ahmedabad,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
55,The Black Sheep Bistro - Chennai Branch 1140,Chennai,"12:00 PM-2:00 PM, 8:00 PM-10:00 PM"
56,Leopold Cafe - Pune Branch 4085,Pune,10:00 AM-10:00 PM
57,Punjab Grill - Kolkata Branch 6712,Kolkata,"11:00 PM-1:00 PM, 8:00 PM-12:00 PM"
58,Trishna - Ahmedabad Branch 8552,Ahmedabad,"12:00 PM-2:00 PM, 8:00 PM-10:00 PM"
59,Leopold Cafe - Delhi Branch 3861,Delhi,11:00 AM-11:00 PM
60,Dum Pukht - Bangalore Branch 5515,Bangalore,10:00 AM-9:00 PM
61,The Fisherman's Wharf - Kolkata Branch 6925,Kolkata,10:00 AM-9:00 PM
62,SodaBottleOpenerWala - Jaipur Branch 3339,Jaipur,11:00 AM-9:00 PM
63,Mainland China - Jaipur Branch 7841,Jaipur,"12:00 PM-3:00 PM, 7:00 PM-11:00 PM"
64,Annalakshmi - Jaipur Branch 2268,Jaipur,11:00 AM-9:00 PM
65,Punjab Grill - Goa Branch 5850,Goa,10:00 AM-9:00 PM
66,Oh! Calcutta - Ahmedabad Branch 7592,Ahmedabad,11:00 AM-9:00 PM
67,Copper Chimney - Hyderabad Branch 638,Hyderabad,"11:00 PM-1:00 PM, 6:00 PM-9:00 PM"
68,Bukhara - Goa Branch 4700,Goa,"1:00 PM-4:00 PM, 6:00 PM-9:00 PM"
69,Mainland China - Bangalore Branch 5225,Bangalore,"11:00 PM-1:00 PM, 8:00 PM-12:00 PM"
70,Thalassa - Chennai Branch 6656,Chennai,11:00 AM-11:00 PM
71,SodaBottleOpenerWala - Jaipur Branch 2860,Jaipur,11:00 AM-11:00 PM
72,SodaBottleOpenerWala - Ahmedabad Branch 7448,Ahmedabad,"11:00 PM-2:00 PM, 8:00 PM-10:00 PM"
73,Indian Accent - Chennai Branch 8836,Chennai,"12:00 PM-3:00 PM, 6:00 PM-8:00 PM"
74,Copper Chimney - Jaipur Branch 4551,Jaipur,11:00 AM-9:00 PM
75,Annalakshmi - Delhi Branch 8460,Delhi,"1:00 PM-4:00 PM, 6:00 PM-8:00 PM"
76,Annalakshmi - Bangalore Branch 9217,Bangalore,"1:00 PM-4:00 PM, 6:00 PM-9:00 PM"
77,Punjab Grill - Pune Branch 1418,Pune,11:00 AM-10:00 PM
78,Indian Accent - Pune Branch 3162,Pune,11:00 AM-9:00 PM
79,Annalakshmi - Kolkata Branch 5397,Kolkata,11:00 AM-11:00 PM
80,Leopold Cafe - Goa Branch 8782,Goa,11:00 AM-9:00 PM
81,Peshawri - Delhi Branch 944,Delhi,11:00 AM-9:00 PM
82,Oh! Calcutta - Jaipur Branch 8673,Jaipur,"1:00 PM-4:00 PM, 8:00 PM-10:00 PM"
83,Punjab Grill - Jaipur Branch 9195,Jaipur,"12:00 PM-3:00 PM, 8:00 PM-10:00 PM"
84,Bukhara - Jaipur Branch 5263,Jaipur,10:00 AM-11:00 PM
85,Thalassa - Ahmedabad Branch 4216,Ahmedabad,"12:00 PM-2:00 PM, 8:00 PM-12:00 PM"
86,Peshawri - Jaipur Branch 7045,Jaipur,10:00 AM-10:00 PM
87,The Bombay Canteen - Chennai Branch 797,Chennai,"1:00 PM-3:00 PM, 8:00 PM-10:00 PM"
88,Annalakshmi - Hyderabad Branch 9538,Hyderabad,11:00 AM-10:00 PM
89,Oh! Calcutta - Jaipur Branch 108,Jaipur,11:00 AM-11:00 PM
90,Copper Chimney - Mumbai Branch 2126,Mumbai,11:00 AM-9:00 PM
91,Annalakshmi - Mumbai Branch 4618,Mumbai,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
92,Bukhara - Pune Branch 312,Pune,10:00 AM-11:00 PM
93,Fatty Bao - Kolkata Branch 3501,Kolkata,10:00 AM-9:00 PM
94,Thalassa - Jaipur Branch 2664,Jaipur,10:00 AM-10:00 PM
95,Punjab Grill - Bangalore Branch 8512,Bangalore,"11:00 PM-2:00 PM, 8:00 PM-10:00 PM"
96,Leopold Cafe - Ahmedabad Branch 8148,Ahmedabad,"1:00 PM-4:00 PM, 7:00 PM-11:00 PM"
97,Oh! Calcutta - Mumbai Branch 9686,Mumbai,"12:00 PM-2:00 PM, 6:00 PM-9:00 PM"
98,The Fisherman's Wharf - Mumbai Branch 7281,Mumbai,10:00 AM-10:00 PM
99,Trishna - Ahmedabad Branch 5086,Ahmedabad,"11:00 PM-1:00 PM, 6:00 PM-10:00 PM"
100,Bukhara - Chennai Branch 1267,Chennai,11:00 AM-9:00 PM
101,Indian Accent - Jaipur Branch 1936,Jaipur,11:00 AM-11:00 PM
102,Barbeque Nation - Hyderabad Branch 2663,Hyderabad,11:00 AM-10:00 PM
103,Bukhara - Chennai Branch 1549,Chennai,11:00 AM-11:00 PM
104,SodaBottleOpenerWala - Bangalore Branch 8705,Bangalore,"11:00 PM-1:00 PM, 7:00 PM-9:00 PM"
105,Thalassa - Chennai Branch 7940,Chennai,11:00 AM-10:00 PM
106,Dum Pukht - Goa Branch 9756,Goa,10:00 AM-9:00 PM
107,Karavalli - Kolkata Branch 7757,Kolkata,10:00 AM-9:00 PM
108,Trishna - Bangalore Branch 8036,Bangalore,"12:00 PM-3:00 PM, 8:00 PM-10:00 PM"
109,Dum Pukht - Kolkata Branch 7083,Kolkata,"1:00 PM-4:00 PM, 7:00 PM-10:00 PM"
110,The Black Sheep Bistro - Hyderabad Branch 8073,Hyderabad,"12:00 PM-3:00 PM, 8:00 PM-10:00 PM"
111,Leopold Cafe - Jaipur Branch 6435,Jaipur,11:00 AM-9:00 PM
112,SodaBottleOpenerWala - Kolkata Branch 2603,Kolkata,11:00 AM-11:00 PM
113,Dum Pukht - Goa Branch 3897,Goa,"1:00 PM-4:00 PM, 6:00 PM-8:00 PM"
114,Indian Accent - Hyderabad Branch 7980,Hyderabad,"11:00 PM-2:00 PM, 6:00 PM-9:00 PM"
115,Thalassa - Ahmedabad Branch 4936,Ahmedabad,11:00 AM-10:00 PM
116,Peshawri - Delhi Branch 5572,Delhi,11:00 AM-10:00 PM
117,Peshawri - Mumbai Branch 7540,Mumbai,10:00 AM-9:00 PM
118,Copper Chimney - Chennai Branch 9028,Chennai,10:00 AM-10:00 PM
119,Bukhara - Goa Branch 5492,Goa,"1:00 PM-3:00 PM, 6:00 PM-10:00 PM"
120,The Bombay Canteen - Hyderabad Branch 8081,Hyderabad,10:00 AM-9:00 PM
121,SodaBottleOpenerWala - Pune Branch 7832,Pune,10:00 AM-9:00 PM
122,Bukhara - Jaipur Branch 1367,Jaipur,"11:00 PM-2:00 PM, 7:00 PM-10:00 PM"
123,Peshawri - Goa Branch 616,Goa,11:00 AM-9:00 PM
124,The Fisherman's Wharf - Ahmedabad Branch 3699,Ahmedabad,"1:00 PM-3:00 PM, 8:00 PM-10:00 PM"
125,Karavalli - Bangalore Branch 9582,Bangalore,"12:00 PM-3:00 PM, 6:00 PM-10:00 PM"
126,Copper Chimney - Pune Branch 3928,Pune,11:00 AM-11:00 PM
127,The Bombay Canteen - Chennai Branch 2230,Chennai,"12:00 PM-3:00 PM, 7:00 PM-9:00 PM"
128,Dum Pukht - Kolkata Branch 9462,Kolkata,"12:00 PM-3:00 PM, 6:00 PM-8:00 PM"
129,Peshawri - Jaipur Branch 6306,Jaipur,"12:00 PM-2:00 PM, 8:00 PM-11:00 PM"
130,The Black Sheep Bistro - Pune Branch 8985,Pune,10:00 AM-10:00 PM
131,The Bombay Canteen - Jaipur Branch 23,Jaipur,"1:00 PM-4:00 PM, 7:00 PM-10:00 PM"
132,Annalakshmi - Bangalore Branch 77,Bangalore,11:00 AM-11:00 PM
133,Peshawri - Bangalore Branch 6126,Bangalore,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
134,Trishna - Jaipur Branch 7206,Jaipur,10:00 AM-10:00 PM
135,Karavalli - Mumbai Branch 5349,Mumbai,11:00 AM-10:00 PM
136,Karavalli - Chennai Branch 4585,Chennai,"12:00 PM-2:00 PM, 6:00 PM-8:00 PM"
137,Punjab Grill - Kolkata Branch 3695,Kolkata,11:00 AM-9:00 PM
138,Karavalli - Goa Branch 9987,Goa,"1:00 PM-4:00 PM, 8:00 PM-10:00 PM"
139,Thalassa - Jaipur Branch 5728,Jaipur,10:00 AM-10:00 PM
140,The Black Sheep Bistro - Jaipur Branch 6152,Jaipur,11:00 AM-10:00 PM
141,Leopold Cafe - Pune Branch 2984,Pune,10:00 AM-10:00 PM
142,The Fisherman's Wharf - Pune Branch 1913,Pune,"1:00 PM-4:00 PM, 8:00 PM-10:00 PM"
143,Copper Chimney - Kolkata Branch 9521,Kolkata,"12:00 PM-2:00 PM, 8:00 PM-10:00 PM"
144,Bukhara - Chennai Branch 7467,Chennai,"1:00 PM-3:00 PM, 7:00 PM-10:00 PM"
145,Annalakshmi - Mumbai Branch 3316,Mumbai,10:00 AM-9:00 PM
146,Indian Accent - Goa Branch 3926,Goa,"11:00 PM-1:00 PM, 8:00 PM-10:00 PM"
147,Punjab Grill - Kolkata Branch 4670,Kolkata,11:00 AM-9:00 PM
148,Thalassa - Ahmedabad Branch 700,Ahmedabad,"11:00 PM-1:00 PM, 6:00 PM-10:00 PM"
149,Annalakshmi - Ahmedabad Branch 4331,Ahmedabad,"1:00 PM-3:00 PM, 8:00 PM-10:00 PM"
150,Mainland China - Jaipur Branch 6460,Jaipur,"12:00 PM-3:00 PM, 8:00 PM-10:00 PM"
151,Dum Pukht - Pune Branch 7917,Pune,10:00 AM-10:00 PM
152,Punjab Grill - Delhi Branch 9257,Delhi,11:00 AM-11:00 PM
153,Peshawri - Kolkata Branch 7844,Kolkata,"11:00 PM-2:00 PM, 7:00 PM-10:00 PM"
154,Barbeque Nation - Pune Branch 5916,Pune,10:00 AM-9:00 PM
155,Trishna - Mumbai Branch 3008,Mumbai,"12:00 PM-3:00 PM, 7:00 PM-10:00 PM"
156,Trishna - Chennai Branch 5433,Chennai,"12:00 PM-3:00 PM, 6:00 PM-8:00 PM"
157,SodaBottleOpenerWala - Jaipur Branch 5577,Jaipur,10:00 AM-11:00 PM
158,Punjab Grill - Jaipur Branch 8182,Jaipur,"1:00 PM-3:00 PM, 6:00 PM-9:00 PM"
159,Trishna - Bangalore Branch 2848,Bangalore,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
160,Karavalli - Hyderabad Branch 2830,Hyderabad,"11:00 PM-2:00 PM, 7:00 PM-9:00 PM"
161,SodaBottleOpenerWala - Bangalore Branch 578,Bangalore,"1:00 PM-4:00 PM, 7:00 PM-9:00 PM"
162,Mainland China - Pune Branch 4087,Pune,"12:00 PM-3:00 PM, 7:00 PM-11:00 PM"
163,SodaBottleOpenerWala - Ahmedabad Branch 2746,Ahmedabad,"12:00 PM-2:00 PM, 8:00 PM-11:00 PM"
164,Dum Pukht - Hyderabad Branch 4782,Hyderabad,10:00 AM-11:00 PM
165,Punjab Grill - Ahmedabad Branch 77,Ahmedabad,"11:00 PM-1:00 PM, 8:00 PM-12:00 PM"
166,The Black Sheep Bistro - Goa Branch 5741,Goa,10:00 AM-11:00 PM
167,Bukhara - Chennai Branch 7409,Chennai,"1:00 PM-3:00 PM, 6:00 PM-8:00 PM"
168,Punjab Grill - Delhi Branch 8821,Delhi,11:00 AM-9:00 PM
169,Punjab Grill - Kolkata Branch 7176,Kolkata,11:00 AM-11:00 PM
170,Dum Pukht - Mumbai Branch 9175,Mumbai,"11:00 PM-2:00 PM, 6:00 PM-10:00 PM"
171,The Bombay Canteen - Hyderabad Branch 4718,Hyderabad,10:00 AM-10:00 PM
172,Dum Pukht - Hyderabad Branch 3973,Hyderabad,"12:00 PM-2:00 PM, 7:00 PM-11:00 PM"
173,Trishna - Ahmedabad Branch 2622,Ahmedabad,11:00 AM-11:00 PM
174,The Black Sheep Bistro - Jaipur Branch 2534,Jaipur,11:00 AM-11:00 PM
175,Trishna - Bangalore Branch 3438,Bangalore,"11:00 PM-1:00 PM, 6:00 PM-9:00 PM"
176,Indian Accent - Jaipur Branch 6479,Jaipur,10:00 AM-9:00 PM
177,Oh! Calcutta - Hyderabad Branch 6768,Hyderabad,"12:00 PM-2:00 PM, 6:00 PM-9:00 PM"
178,Dum Pukht - Mumbai Branch 2999,Mumbai,"11:00 PM-2:00 PM, 8:00 PM-11:00 PM"
179,The Black Sheep Bistro - Hyderabad Branch 2577,Hyderabad,11:00 AM-9:00 PM
180,The Bombay Canteen - Kolkata Branch 3899,Kolkata,10:00 AM-10:00 PM
181,Annalakshmi - Jaipur Branch 732,Jaipur,11:00 AM-10:00 PM
182,Barbeque Nation - Goa Branch 7093,Goa,"12:00 PM-3:00 PM, 7:00 PM-10:00 PM"
183,Copper Chimney - Jaipur Branch 1988,Jaipur,11:00 AM-9:00 PM
184,Oh! Calcutta - Ahmedabad Branch 6345,Ahmedabad,"1:00 PM-3:00 PM, 8:00 PM-11:00 PM"
185,Bukhara - Goa Branch 3962,Goa,11:00 AM-9:00 PM
186,Copper Chimney - Delhi Branch 8912,Delhi,"1:00 PM-4:00 PM, 8:00 PM-11:00 PM"
187,Karavalli - Ahmedabad Branch 9946,Ahmedabad,11:00 AM-9:00 PM
188,Punjab Grill - Bangalore Branch 648,Bangalore,"12:00 PM-3:00 PM, 6:00 PM-8:00 PM"
189,Indian Accent - Hyderabad Branch 3011,Hyderabad,"12:00 PM-2:00 PM, 8:00 PM-11:00 PM"
190,The Black Sheep Bistro - Bangalore Branch 8506,Bangalore,"1:00 PM-4:00 PM, 7:00 PM-10:00 PM"
191,Karavalli - Mumbai Branch 7580,Mumbai,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
192,Karavalli - Ahmedabad Branch 9976,Ahmedabad,"11:00 PM-2:00 PM, 8:00 PM-11:00 PM"
193,Fatty Bao - Delhi Branch 6652,Delhi,"1:00 PM-4:00 PM, 7:00 PM-10:00 PM"
194,Oh! Calcutta - Goa Branch 6216,Goa,10:00 AM-11:00 PM
195,Fatty Bao - Mumbai Branch 8090,Mumbai,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
196,Fatty Bao - Bangalore Branch 453,Bangalore,11:00 AM-10:00 PM
197,The Bombay Canteen - Pune Branch 4501,Pune,"12:00 PM-3:00 PM, 7:00 PM-9:00 PM"
198,Trishna - Hyderabad Branch 1184,Hyderabad,"12:00 PM-2:00 PM, 8:00 PM-10:00 PM"
199,Mainland China - Kolkata Branch 3216,Kolkata,11:00 AM-9:00 PM
200,Mainland China - Bangalore Branch 5664,Bangalore,"1:00 PM-3:00 PM, 8:00 PM-12:00 PM"
201,Thalassa - Mumbai Branch 3979,Mumbai,11:00 AM-9:00 PM
202,The Fisherman's Wharf - Goa Branch 37,Goa,"1:00 PM-4:00 PM, 8:00 PM-10:00 PM"
203,Dum Pukht - Jaipur Branch 6210,Jaipur,"11:00 PM-1:00 PM, 6:00 PM-10:00 PM"
204,Paradise Biryani - Goa Branch 6333,Goa,11:00 AM-10:00 PM
205,The Fisherman's Wharf - Kolkata Branch 2404,Kolkata,10:00 AM-10:00 PM
206,Annalakshmi - Ahmedabad Branch 211,Ahmedabad,10:00 AM-11:00 PM
207,Barbeque Nation - Jaipur Branch 173,Jaipur,"1:00 PM-3:00 PM, 6:00 PM-9:00 PM"
208,Punjab Grill - Kolkata Branch 259,Kolkata,11:00 AM-9:00 PM
209,Leopold Cafe - Ahmedabad Branch 8780,Ahmedabad,10:00 AM-11:00 PM
210,Indian Accent - Hyderabad Branch 708,Hyderabad,11:00 AM-10:00 PM
211,Punjab Grill - Kolkata Branch 4570,Kolkata,"11:00 PM-1:00 PM, 8:00 PM-10:00 PM"
212,SodaBottleOpenerWala - Goa Branch 5308,Goa,"12:00 PM-2:00 PM, 6:00 PM-8:00 PM"
213,Fatty Bao - Chennai Branch 8066,Chennai,"1:00 PM-3:00 PM, 7:00 PM-9:00 PM"
214,Trishna - Chennai Branch 9818,Chennai,"11:00 PM-2:00 PM, 8:00 PM-12:00 PM"
215,Oh! Calcutta - Mumbai Branch 8557,Mumbai,"12:00 PM-2:00 PM, 6:00 PM-9:00 PM"
216,Mainland China - Goa Branch 5018,Goa,"11:00 PM-2:00 PM, 7:00 PM-10:00 PM"
217,Oh! Calcutta - Bangalore Branch 5565,Bangalore,10:00 AM-11:00 PM
218,Paradise Biryani - Delhi Branch 7139,Delhi,"12:00 PM-3:00 PM, 6:00 PM-9:00 PM"
219,The Bombay Canteen - Goa Branch 438,Goa,"1:00 PM-4:00 PM, 8:00 PM-10:00 PM"
220,Peshawri - Jaipur Branch 7203,Jaipur,11:00 AM-11:00 PM
221,SodaBottleOpenerWala - Jaipur Branch 6948,Jaipur,11:00 AM-9:00 PM
222,The Fisherman's Wharf - Chennai Branch 8865,Chennai,11:00 AM-9:00 PM
223,Paradise Biryani - Goa Branch 5963,Goa,10:00 AM-10:00 PM
224,Fatty Bao - Mumbai Branch 8048,Mumbai,"1:00 PM-3:00 PM, 7:00 PM-9:00 PM"
225,Punjab Grill - Jaipur Branch 111,Jaipur,11:00 AM-10:00 PM
226,Fatty Bao - Mumbai Branch 533,Mumbai,10:00 AM-10:00 PM
227,Barbeque Nation - Bangalore Branch 9856,Bangalore,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
228,Leopold Cafe - Mumbai Branch 5343,Mumbai,"1:00 PM-3:00 PM, 6:00 PM-8:00 PM"
229,Thalassa - Jaipur Branch 5846,Jaipur,10:00 AM-11:00 PM
230,The Bombay Canteen - Hyderabad Branch 4662,Hyderabad,"12:00 PM-2:00 PM, 7:00 PM-9:00 PM"
231,Indian Accent - Chennai Branch 236,Chennai,"1:00 PM-4:00 PM, 8:00 PM-10:00 PM"
232,Oh! Calcutta - Jaipur Branch 8619,Jaipur,"12:00 PM-3:00 PM, 7:00 PM-10:00 PM"
233,Fatty Bao - Ahmedabad Branch 1374,Ahmedabad,11:00 AM-10:00 PM
234,Oh! Calcutta - Pune Branch 9968,Pune,10:00 AM-10:00 PM
235,The Black Sheep Bistro - Goa Branch 3244,Goa,11:00 AM-11:00 PM
236,Copper Chimney - Bangalore Branch 1500,Bangalore,"11:00 PM-2:00 PM, 7:00 PM-10:00 PM"
237,Fatty Bao - Delhi Branch 2556,Delhi,"12:00 PM-2:00 PM, 7:00 PM-10:00 PM"
238,Bukhara - Bangalore Branch 6920,Bangalore,10:00 AM-10:00 PM
239,Bukhara - Bangalore Branch 2964,Bangalore,"11:00 PM-1:00 PM, 7:00 PM-9:00 PM"
240,Copper Chimney - Jaipur Branch 4371,Jaipur,"11:00 PM-2:00 PM, 7:00 PM-11:00 PM"
241,SodaBottleOpenerWala - Chennai Branch 6722,Chennai,"12:00 PM-3:00 PM, 8:00 PM-12:00 PM"
242,Karavalli - Ahmedabad Branch 9265,Ahmedabad,10:00 AM-10:00 PM
243,Oh! Calcutta - Chennai Branch 6074,Chennai,"11:00 PM-2:00 PM, 6:00 PM-10:00 PM"
244,Leopold Cafe - Jaipur Branch 1345,Jaipur,"1:00 PM-3:00 PM, 7:00 PM-9:00 PM"
245,Mainland China - Bangalore Branch 2667,Bangalore,10:00 AM-10:00 PM
246,The Fisherman's Wharf - Pune Branch 6979,Pune,11:00 AM-11:00 PM
247,Copper Chimney - Goa Branch 3159,Goa,11:00 AM-9:00 PM
248,Annalakshmi - Jaipur Branch 3458,Jaipur,11:00 AM-10:00 PM
249,The Black Sheep Bistro - Jaipur Branch 4205,Jaipur,11:00 AM-10:00 PM
250,The Fisherman's Wharf - Goa Branch 8949,Goa,10:00 AM-9:00 PM
251,The Bombay Canteen - Kolkata Branch 3223,Kolkata,"12:00 PM-3:00 PM, 7:00 PM-9:00 PM"
252,The Fisherman's Wharf - Ahmedabad Branch 1549,Ahmedabad,11:00 AM-11:00 PM
253,The Black Sheep Bistro - Chennai Branch 8571,Chennai,"11:00 PM-2:00 PM, 6:00 PM-8:00 PM"
254,Oh! Calcutta - Kolkata Branch 8610,Kolkata,10:00 AM-10:00 PM
255,The Bombay Canteen - Kolkata Branch 4452,Kolkata,"12:00 PM-3:00 PM, 8:00 PM-12:00 PM"
256,The Black Sheep Bistro - Jaipur Branch 1101,Jaipur,"1:00 PM-4:00 PM, 6:00 PM-8:00 PM"
257,Dum Pukht - Goa Branch 220,Goa,"12:00 PM-2:00 PM, 8:00 PM-11:00 PM"
258,SodaBottleOpenerWala - Jaipur Branch 8402,Jaipur,11:00 AM-10:00 PM
259,Annalakshmi - Ahmedabad Branch 9061,Ahmedabad,10:00 AM-10:00 PM
260,Leopold Cafe - Mumbai Branch 6870,Mumbai,"12:00 PM-3:00 PM, 7:00 PM-10:00 PM"
261,Paradise Biryani - Bangalore Branch 4837,Bangalore,10:00 AM-9:00 PM
262,Karavalli - Delhi Branch 5504,Delhi,11:00 AM-11:00 PM
263,The Fisherman's Wharf - Pune Branch 4776,Pune,10:00 AM-9:00 PM
264,Karavalli - Jaipur Branch 3368,Jaipur,"12:00 PM-2:00 PM, 6:00 PM-9:00 PM"
265,Punjab Grill - Jaipur Branch 5174,Jaipur,"1:00 PM-3:00 PM, 8:00 PM-10:00 PM"
266,Indian Accent - Hyderabad Branch 8649,Hyderabad,"11:00 PM-1:00 PM, 7:00 PM-10:00 PM"
267,Fatty Bao - Kolkata Branch 5649,Kolkata,11:00 AM-11:00 PM
268,Copper Chimney - Jaipur Branch 6048,Jaipur,"12:00 PM-2:00 PM, 8:00 PM-10:00 PM"
269,Dum Pukht - Pune Branch 7112,Pune,11:00 AM-11:00 PM
270,Copper Chimney - Bangalore Branch 7230,Bangalore,11:00 AM-11:00 PM
271,The Fisherman's Wharf - Kolkata Branch 9030,Kolkata,"12:00 PM-3:00 PM, 8:00 PM-11:00 PM"
272,The Bombay Canteen - Hyderabad Branch 1749,Hyderabad,"11:00 PM-2:00 PM, 6:00 PM-9:00 PM"
273,Oh! Calcutta - Pune Branch 7799,Pune,"11:00 PM-2:00 PM, 7:00 PM-9:00 PM"
274,Paradise Biryani - Pune Branch 1213,Pune,"1:00 PM-4:00 PM, 6:00 PM-8:00 PM"
275,Trishna - Goa Branch 9822,Goa,11:00 AM-11:00 PM
276,The Bombay Canteen - Kolkata Branch 3219,Kolkata,11:00 AM-10:00 PM
277,Fatty Bao - Jaipur Branch 4115,Jaipur,"1:00 PM-4:00 PM, 7:00 PM-11:00 PM"
278,Paradise Biryani - Pune Branch 2655,Pune,10:00 AM-11:00 PM
279,Copper Chimney - Kolkata Branch 6472,Kolkata,"1:00 PM-3:00 PM, 8:00 PM-10:00 PM"
